starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 26 09:40:59 2016	1469536859	0	232	233	165
Tue Jul 26 09:41:00 2016	1469536860	0	235	235	168
Tue Jul 26 09:41:00 2016	1469536860	0	235	236	168
Tue Jul 26 09:41:04 2016	1469536864	0	235	236	168
Tue Jul 26 09:40:59 2016	1469536859	0	236	236	169
Tue Jul 26 09:41:04 2016	1469536864	0	236	236	167
Tue Jul 26 09:40:59 2016	1469536859	1	236	236	168
Tue Jul 26 09:41:00 2016	1469536860	0	236	236	168
Tue Jul 26 09:41:04 2016	1469536864	0	236	236	169
Tue Jul 26 09:41:00 2016	1469536860	0	236	236	168
Tue Jul 26 09:41:04 2016	1469536864	0	236	237	169
Tue Jul 26 09:41:00 2016	1469536860	1	235	237	168
Tue Jul 26 09:41:04 2016	1469536864	0	237	237	169
Tue Jul 26 09:41:04 2016	1469536864	0	237	237	169
Tue Jul 26 09:41:04 2016	1469536864	0	237	237	169
Tue Jul 26 09:40:59 2016	1469536859	0	237	238	170
Tue Jul 26 09:41:04 2016	1469536864	0	237	238	170
Tue Jul 26 09:40:59 2016	1469536859	1	237	238	170
Tue Jul 26 09:40:58 2016	1469536858	0	238	238	170
Tue Jul 26 09:41:00 2016	1469536860	0	237	238	169
Tue Jul 26 09:41:03 2016	1469536863	0	238	238	170
Tue Jul 26 09:41:04 2016	1469536864	0	238	238	169
Tue Jul 26 09:41:03 2016	1469536863	0	238	238	171
Tue Jul 26 09:41:00 2016	1469536860	0	238	238	170
Tue Jul 26 09:40:59 2016	1469536859	0	238	238	170
Tue Jul 26 09:40:58 2016	1469536858	0	238	238	171
Tue Jul 26 09:40:59 2016	1469536859	0	238	238	170
Tue Jul 26 09:40:59 2016	1469536859	1	237	238	169
Tue Jul 26 09:41:01 2016	1469536861	0	238	238	170
Tue Jul 26 09:41:04 2016	1469536864	1	238	238	170
Tue Jul 26 09:40:59 2016	1469536859	0	238	238	170
Tue Jul 26 09:41:00 2016	1469536860	0	238	238	169
Tue Jul 26 09:41:05 2016	1469536865	0	238	239	170
Tue Jul 26 09:40:59 2016	1469536859	0	238	239	169
Tue Jul 26 09:41:00 2016	1469536860	0	238	239	170
Tue Jul 26 09:41:04 2016	1469536864	0	238	239	169
Tue Jul 26 09:40:59 2016	1469536859	0	238	239	171
Tue Jul 26 09:41:01 2016	1469536861	0	239	239	171
Tue Jul 26 09:40:59 2016	1469536859	1	238	239	168
Tue Jul 26 09:41:04 2016	1469536864	0	239	239	170
Tue Jul 26 09:40:59 2016	1469536859	1	238	239	171
Tue Jul 26 09:40:59 2016	1469536859	0	239	239	171
Tue Jul 26 09:40:59 2016	1469536859	0	239	239	171
Tue Jul 26 09:41:05 2016	1469536865	2	237	239	169
Tue Jul 26 09:40:58 2016	1469536858	0	239	239	170
Tue Jul 26 09:41:00 2016	1469536860	0	239	239	172
Tue Jul 26 09:41:00 2016	1469536860	0	239	239	171
Tue Jul 26 09:40:59 2016	1469536859	0	239	239	172
Tue Jul 26 09:40:59 2016	1469536859	0	239	239	172
Tue Jul 26 09:41:05 2016	1469536865	0	239	240	171
Tue Jul 26 09:41:00 2016	1469536860	0	240	240	171
Tue Jul 26 09:40:59 2016	1469536859	0	240	240	173
Tue Jul 26 09:41:00 2016	1469536860	1	239	240	171
Tue Jul 26 09:41:00 2016	1469536860	0	240	240	172
Tue Jul 26 09:41:04 2016	1469536864	0	240	240	173
Tue Jul 26 09:41:00 2016	1469536860	0	240	240	171
Tue Jul 26 09:40:58 2016	1469536858	0	240	240	173
Tue Jul 26 09:40:59 2016	1469536859	0	240	240	172
Tue Jul 26 09:40:58 2016	1469536858	0	240	240	171
Tue Jul 26 09:41:03 2016	1469536863	0	240	240	172
Tue Jul 26 09:41:04 2016	1469536864	1	240	240	171
Tue Jul 26 09:41:00 2016	1469536860	0	240	241	173
Tue Jul 26 09:41:00 2016	1469536860	1	239	241	171
Tue Jul 26 09:40:59 2016	1469536859	0	240	241	173
Tue Jul 26 09:41:00 2016	1469536860	0	241	241	171
Tue Jul 26 09:41:01 2016	1469536861	3	238	241	170
Tue Jul 26 09:41:01 2016	1469536861	2	239	241	172
Tue Jul 26 09:41:04 2016	1469536864	0	241	241	174
Tue Jul 26 09:40:59 2016	1469536859	0	241	241	173
Tue Jul 26 09:41:04 2016	1469536864	1	241	241	174
Tue Jul 26 09:41:00 2016	1469536860	0	241	241	171
Tue Jul 26 09:40:59 2016	1469536859	0	241	241	174
Tue Jul 26 09:40:59 2016	1469536859	0	241	241	173
Tue Jul 26 09:41:04 2016	1469536864	2	240	241	172
Tue Jul 26 09:41:04 2016	1469536864	0	241	241	173
Tue Jul 26 09:41:01 2016	1469536861	0	241	241	173
Tue Jul 26 09:40:59 2016	1469536859	2	240	241	172
Tue Jul 26 09:41:04 2016	1469536864	0	241	242	174
Tue Jul 26 09:41:00 2016	1469536860	0	241	242	175
Tue Jul 26 09:41:03 2016	1469536863	0	241	242	174
Tue Jul 26 09:40:59 2016	1469536859	0	242	242	174
Tue Jul 26 09:40:58 2016	1469536858	0	242	242	175
Tue Jul 26 09:41:04 2016	1469536864	1	241	242	173
Tue Jul 26 09:41:00 2016	1469536860	0	242	242	173
Tue Jul 26 09:40:58 2016	1469536858	1	242	242	173
Tue Jul 26 09:41:01 2016	1469536861	0	242	242	174
Tue Jul 26 09:40:58 2016	1469536858	0	242	242	174
Tue Jul 26 09:40:59 2016	1469536859	0	242	242	174
Tue Jul 26 09:40:58 2016	1469536858	0	242	243	174
Tue Jul 26 09:40:58 2016	1469536858	1	242	243	174
Tue Jul 26 09:41:00 2016	1469536860	0	243	243	176
Tue Jul 26 09:41:00 2016	1469536860	0	243	243	172
Tue Jul 26 09:41:03 2016	1469536863	0	243	243	175
Tue Jul 26 09:40:59 2016	1469536859	0	243	243	175
Tue Jul 26 09:40:59 2016	1469536859	0	243	243	175
Tue Jul 26 09:41:01 2016	1469536861	0	243	243	175
Tue Jul 26 09:41:04 2016	1469536864	1	243	243	175
Tue Jul 26 09:40:59 2016	1469536859	0	243	243	175
Tue Jul 26 09:41:03 2016	1469536863	0	243	243	175
Tue Jul 26 09:41:04 2016	1469536864	0	243	243	173
Tue Jul 26 09:41:01 2016	1469536861	1	242	244	176
Tue Jul 26 09:41:04 2016	1469536864	0	243	244	173
Tue Jul 26 09:40:59 2016	1469536859	0	243	244	175
Tue Jul 26 09:40:53 2016	1469536853	1	243	244	170
Tue Jul 26 09:40:58 2016	1469536858	0	244	244	175
Tue Jul 26 09:41:03 2016	1469536863	0	244	244	176
Tue Jul 26 09:40:59 2016	1469536859	0	244	244	176
Tue Jul 26 09:40:59 2016	1469536859	0	244	244	174
Tue Jul 26 09:41:04 2016	1469536864	2	243	244	175
Tue Jul 26 09:41:03 2016	1469536863	1	244	245	176
Tue Jul 26 09:40:59 2016	1469536859	0	244	245	176
Tue Jul 26 09:41:04 2016	1469536864	2	243	245	174
Tue Jul 26 09:41:00 2016	1469536860	0	244	245	175
Tue Jul 26 09:41:03 2016	1469536863	0	244	245	176
Tue Jul 26 09:41:04 2016	1469536864	0	245	245	175
Tue Jul 26 09:40:53 2016	1469536853	0	245	245	172
Tue Jul 26 09:40:58 2016	1469536858	3	242	245	174
Tue Jul 26 09:40:53 2016	1469536853	3	242	245	170
Tue Jul 26 09:41:03 2016	1469536863	0	245	245	176
Tue Jul 26 09:40:59 2016	1469536859	0	245	245	176
Tue Jul 26 09:40:59 2016	1469536859	2	243	245	176
Tue Jul 26 09:41:00 2016	1469536860	0	245	245	175
Tue Jul 26 09:41:04 2016	1469536864	0	245	245	177
Tue Jul 26 09:41:00 2016	1469536860	1	245	245	177
Tue Jul 26 09:40:58 2016	1469536858	0	245	246	178
Tue Jul 26 09:40:59 2016	1469536859	0	245	246	176
Tue Jul 26 09:40:58 2016	1469536858	0	245	246	178
Tue Jul 26 09:40:58 2016	1469536858	0	246	246	176
Tue Jul 26 09:41:04 2016	1469536864	0	246	246	177
Tue Jul 26 09:40:58 2016	1469536858	0	246	246	178
Tue Jul 26 09:41:00 2016	1469536860	0	246	246	178
Tue Jul 26 09:41:03 2016	1469536863	0	246	246	177
